,,,,,,,,,,,,,,,,,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def,OG,Matches
40,Timo Becker,de GER,DF,Schalke 04,24-047,1997,15.2,8,0.52,5,1,0,0,2,0,3,0.2,2,1,0,0,0,0,0,Matches
41,Brian Behrendt,de GER,DF,Arminia,29-199,1991,0.9,2,2.28,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
42,Maximilian Beier,de GER,FW,Hoffenheim,18-206,2002,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
43,Ishak Belfodil,dz ALG,FW,Hoffenheim,29-119,1992,6.6,19,2.87,14,0,0,2,3,0,1,0.15,1,0,0,0,0,0,0,Matches
44,Stefan Bell,de GER,DF,Mainz 05,29-260,1991,13.1,6,0.46,4,1,0,0,0,1,2,0.15,1,1,0,0,0,0,0,Matches
45,Karim Bellarabi,de GER,"FW,MF",Leverkusen,31-033,1990,7.8,21,2.69,14,0,5,2,0,0,1,0.13,0,0,0,1,0,0,0,Matches
46,Jude Bellingham,eng ENG,MF,Dortmund,17-316,2003,17.4,40,2.3,33,0,1,1,3,2,7,0.4,7,0,0,0,0,0,0,Matches
47,Lars Bender,de GER,DF,Leverkusen,32-014,1989,10.4,17,1.64,16,0,1,0,0,0,3,0.29,3,0,0,0,0,0,0,Matches
48,Sven Bender,de GER,DF,Leverkusen,32-014,1989,12,11,0.92,10,0,0,1,0,0,2,0.17,2,0,0,0,0,0,0,Matches
49,László Bénes,sk SVK,"MF,FW",Augsburg,23-244,1997,6.1,19,3.11,8,5,1,1,4,0,0,0,0,0,0,0,0,0,0,Matches
50,László Bénes,sk SVK,MF,M'Gladbach,23-244,1997,1.7,6,3.6,1,4,0,0,1,0,2,1.2,0,1,0,0,1,0,0,Matches
51,Ramy Bensebaini,dz ALG,DF,M'Gladbach,26-025,1995,18.2,18,0.99,14,0,2,1,0,1,3,0.16,1,0,1,1,0,0,0,Matches
52,Nabil Bentaleb,dz ALG,MF,Schalke 04,26-168,1994,6.1,4,0.66,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
53,Louis Beyer,de GER,DF,M'Gladbach,20-357,2000,2.1,2,0.96,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
54,Bartosz Bialek,pl POL,"FW,MF",Wolfsburg,19-181,2001,3,10,3.33,10,0,0,0,0,0,2,0.67,2,0,0,0,0,0,0,Matches
55,Ermin Bicakcic,ba BIH,DF,Hoffenheim,31-107,1990,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
56,Leonardo Bittencourt,de GER,"MF,FW",Werder Bremen,27-143,1993,15.1,38,2.52,21,9,3,1,2,2,4,0.27,1,1,0,0,1,1,0,Matches
57,Jérôme Boateng,de GER,DF,Bayern Munich,32-250,1988,24.6,15,0.61,14,0,0,0,0,1,3,0.12,3,0,0,0,0,0,0,Matches
58,Jean-Paul Boëtius,nl NED,"MF,FW",Mainz 05,27-050,1994,21.3,56,2.63,45,1,3,2,4,1,7,0.33,6,0,0,1,0,0,0,Matches
59,Melayro Bogarde,nl NED,"DF,MF",Hoffenheim,18-348,2002,3.1,8,2.6,6,0,0,0,2,0,1,0.32,1,0,0,0,0,0,0,Matches
60,Dennis Borkowski,de GER,MF,RB Leipzig,19-105,2002,0.1,1,8.18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
61,Sebastiaan Bornauw,be BEL,DF,Köln,22-050,1999,21.1,2,0.09,2,0,0,0,0,0,1,0.05,1,0,0,0,0,0,0,Matches
62,Nassim Boujellab,ma MAR,"MF,FW",Schalke 04,21-325,1999,6.7,14,2.08,9,0,0,2,3,0,0,0,0,0,0,0,0,0,0,Matches
63,Dedryck Boyata,be BEL,DF,Hertha BSC,30-164,1990,14.2,8,0.56,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Matches
64,Can Bozdogan,de GER,MF,Schalke 04,20-036,2001,7.2,9,1.24,7,1,1,0,0,0,3,0.41,2,0,1,0,0,0,0,Matches
65,Julian Brandt,de GER,"FW,MF",Dortmund,25-009,1996,15.4,63,4.08,54,2,3,2,2,0,6,0.39,5,0,1,0,0,0,0,Matches
66,Fabian Bredlow,de GER,GK,Stuttgart,26-070,1995,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
67,Josip Brekalo,hr CRO,FW,Wolfsburg,22-322,1998,19.4,68,3.51,47,11,6,3,1,0,10,0.52,6,0,1,2,1,0,0,Matches
68,Joshua Brenet,nl NED,DF,Hoffenheim,27-052,1994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
69,John Brooks,us USA,DF,Wolfsburg,28-103,1993,29.2,22,0.75,19,0,1,1,0,1,1,0.03,1,0,0,0,0,0,0,Matches
70,Daniel Brosinski,de GER,DF,Mainz 05,32-298,1988,14.1,33,2.34,21,11,1,0,0,0,4,0.28,1,3,0,0,0,0,0,Matches
71,Cédric Brunner,ch SUI,DF,Arminia,27-083,1994,27.5,23,0.84,17,4,1,0,1,0,1,0.04,1,0,0,0,0,0,0,Matches
72,Jacob Bruun Larsen,dk DEN,FW,Hoffenheim,22-234,1998,1,2,2.02,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
